3,firefox,png,undefined,143,25,1624,75
8,firefox,jpeg,undefined,120,11,233,61
13,firefox,avif,undefined,160,11,211,93
18,firefox,webp,undefined,119,9,185,60
23,firefox,png,undefined,152,10,2101,97
28,firefox,jpeg,undefined,164,9,315,101
33,firefox,avif,undefined,129,8,312,68
38,firefox,webp,undefined,149,10,323,90
43,firefox,png,undefined,159,12,2062,85
48,firefox,jpeg,undefined,147,13,418,94
53,firefox,avif,undefined,243,11,271,180
58,firefox,webp,undefined,140,10,262,76
63,firefox,png,undefined,152,7,2009,90
68,firefox,jpeg,undefined,148,10,319,90
73,firefox,avif,undefined,140,6,245,81
78,firefox,webp,undefined,136,11,247,72
83,firefox,png,undefined,256,15,2079,202
88,firefox,jpeg,undefined,175,11,306,105
93,firefox,avif,undefined,140,10,350,77
98,firefox,webp,undefined,159,10,360,90
103,firefox,png,undefined,251,12,2064,187
107,firefox,jpeg,undefined,144,11,329,87
112,firefox,avif,undefined,117,8,320,67
117,firefox,webp,undefined,155,11,262,95
122,firefox,png,undefined,121,10,2476,69
127,firefox,jpeg,undefined,166,9,278,98
132,firefox,avif,undefined,130,7,247,72
137,firefox,webp,undefined,132,9,224,77
142,firefox,png,undefined,128,9,2151,62
146,firefox,jpeg,undefined,166,11,311,111
151,firefox,avif,undefined,135,13,250,79
156,firefox,webp,undefined,103,10,241,53
161,firefox,png,undefined,100,10,2002,41
166,firefox,jpeg,undefined,139,7,338,78
171,firefox,avif,undefined,137,9,288,74
176,firefox,webp,undefined,76,9,260,21
181,firefox,png,undefined,149,9,1950,83
186,firefox,jpeg,undefined,159,11,315,106
191,firefox,avif,undefined,144,13,232,86
196,firefox,webp,undefined,103,10,232,45
201,firefox,png,undefined,162,5,2028,95
206,firefox,jpeg,undefined,285,11,275,219
211,firefox,avif,undefined,141,11,304,79
216,firefox,webp,undefined,118,9,221,66
221,firefox,png,undefined,176,12,2266,113
226,firefox,jpeg,undefined,153,10,340,101
230,firefox,avif,undefined,139,9,321,76
235,firefox,webp,undefined,141,9,286,72
240,firefox,png,undefined,153,11,1970,89
245,firefox,jpeg,undefined,119,9,271,64
250,firefox,avif,undefined,162,9,298,100
255,firefox,webp,undefined,159,9,234,93
260,firefox,png,undefined,153,9,1485,84
265,firefox,jpeg,undefined,76,9,246,22
270,firefox,avif,undefined,80,8,201,30
275,firefox,webp,undefined,140,12,183,75
280,firefox,png,undefined,94,10,1577,30
285,firefox,jpeg,undefined,131,9,234,82
290,firefox,avif,undefined,143,9,200,85
295,firefox,webp,undefined,270,11,193,214
300,firefox,png,undefined,151,9,2005,92
305,firefox,jpeg,undefined,149,9,311,84
310,firefox,avif,undefined,172,9,275,119
315,firefox,webp,undefined,153,10,264,94
319,firefox,png,undefined,163,9,2319,102
324,firefox,jpeg,undefined,147,13,356,83
329,firefox,avif,undefined,150,10,398,94
334,firefox,webp,undefined,180,10,327,122
339,firefox,png,undefined,154,8,1813,91
344,firefox,jpeg,undefined,127,8,247,76
349,firefox,avif,undefined,140,9,243,83
354,firefox,webp,undefined,152,7,211,90
359,firefox,png,undefined,143,8,1218,80
364,firefox,jpeg,undefined,139,10,248,88
369,firefox,avif,undefined,276,11,212,210
374,firefox,webp,undefined,174,9,188,111
379,firefox,png,undefined,136,11,1507,68
384,firefox,jpeg,undefined,132,9,219,78
389,firefox,avif,undefined,103,9,201,57
394,firefox,webp,undefined,79,7,174,15
399,firefox,png,undefined,178,12,1929,121
404,firefox,jpeg,undefined,192,9,308,134
409,firefox,avif,undefined,85,10,279,25
414,firefox,webp,undefined,97,7,259,43
419,firefox,png,undefined,144,10,1868,74
424,firefox,jpeg,undefined,147,14,307,85
429,firefox,avif,undefined,201,22,256,151
434,firefox,webp,undefined,183,9,235,124
439,firefox,png,undefined,198,9,1921,133
444,firefox,jpeg,undefined,183,10,327,131
449,firefox,avif,undefined,122,8,265,55
454,firefox,webp,undefined,184,10,249,130
459,firefox,png,undefined,176,6,1757,117
464,firefox,jpeg,undefined,184,10,307,122
469,firefox,avif,undefined,178,9,216,123
474,firefox,webp,undefined,332,7,203,271
479,firefox,png,undefined,188,11,1898,130
484,firefox,jpeg,undefined,195,10,263,129
489,firefox,avif,undefined,187,10,258,128
494,firefox,webp,undefined,343,9,230,279
499,firefox,png,undefined,183,12,1658,131
504,firefox,jpeg,undefined,202,10,318,142
509,firefox,avif,undefined,186,7,322,134
